IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipRatioFrontLeft,TireCombinedSlipRatioFrontRight,TireCombinedSlipRatioRearLeft,TireCombinedSlipRatioRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders
1,2489671,8199.995,799.9995,5597.014,0.1017965,-0.5823433,-0.2075779,0.00354588,0.380961,22.09055,0.01865344,0.006683748,0.007553397,0.07502116,0.0172438,0.000512986,0.3750887,0.3794868,0.3578067,0.3538745,-0.001532312,-0.001330264,-5.26E-05,-6.17E-05,67.44328,67.41061,67.44273,67.41048,0,0,0,0,0,0,0,0,0,0,0,0,0.004240827,0.0016219,-0.001272823,0.005074321,0.004509168,0.002097656,0.001273909,0.005074696,-0.002370186,-0.001769356,-0.004731111,-0.005268298,2870,3,573,0,4
1,2489687,8199.995,799.9995,5596.122,0.05682483,3.730805,-0.2124135,0.002260685,0.3183616,22.08916,0.01215613,0.006728085,0.005865756,0.0751335,0.01749494,0.000625812,0.3681037,0.3709809,0.3379223,0.3349758,-0.001068671,-0.001251776,-0.00011023,-0.000106849,67.44379,67.411,67.44929,67.41774,0,0,0,0,0,0,0,0,0,0,0,0,0.004267741,0.001742602,-0.002316997,0.007379496,0.004399508,0.002145602,0.002319618,0.007380269,-0.003324419,-0.002931364,-0.007447556,-0.007850081,2870,3,573,0,4
1,2489703,8199.995,799.9995,5558.973,0.08895428,1.834761,-0.06798249,0.000225306,0.2592928,22.08694,0.002115546,0.006182663,0.003164566,0.07524213,0.01760425,0.00069969,0.3539996,0.3552325,0.3107937,0.3090351,-0.004786084,-0.004972682,-0.000102436,-0.000203597,67.40193,67.36945,67.45471,67.42439,0,0,0,0,0,0,0,0,0,0,0,0,-0.001363639,-0.004269256,-0.003730032,0.01057111,0.004976557,0.006553939,0.003731438,0.01057307,-0.005251206,-0.005082779,-0.01115364,-0.01139389,2870,3,573,0,4
1,2489718,8199.995,799.9995,5545.782,0.01667312,0.5119805,-0.1605454,-0.000785351,0.2035175,22.08128,-0.008171854,0.005815518,0.002276032,0.0753421,0.01753679,0.000746699,0.3402433,0.3390524,0.2893403,0.2888961,-0.01224731,-0.01272135,0.000210337,0.000178669,67.32944,67.29566,67.45433,67.4256,0,0,0,0,0,0,0,0,0,0,0,0,1.57E-05,-0.003174969,-0.005801633,0.01323406,0.01224732,0.01311157,0.005805445,0.01323527,-0.007130489,-0.007293165,-0.01408443,-0.01414511,2870,3,573,0,4
1,2489734,8199.995,799.9995,5556.928,0.06143738,-0.3509268,-0.2705427,-0.002228379,0.1537185,22.07161,-0.01626007,0.004884033,0.000573634,0.07542972,0.01731876,0.000768496,0.3330101,0.3292047,0.2789814,0.2793191,-0.01779619,-0.01849349,0.000490437,0.000396968,67.26182,67.23058,67.43468,67.41027,0,0,0,0,0,0,0,0,0,0,0,0,0.001116235,-0.002243699,-0.006682968,0.01476202,0.01783116,0.0186291,0.006700939,0.01476735,-0.008118615,-0.008638479,-0.01549958,-0.01545344,2870,3,573,0,4
1,2489750,8199.995,799.9995,5587.689,0.02095018,-0.8551609,-0.3931363,-0.002813935,0.1106855,22.05961,-0.02239505,0.004054045,-0.000422606,0.07550278,0.01698506,0.000768446,0.33092,0.3245293,0.2742783,0.2755395,-0.01867081,-0.01930795,0.000584229,0.000503159,67.23232,67.20587,67.40456,67.38419,0,0,0,0,0,0,0,0,0,0,0,0,0.002118058,-0.001313417,-0.007376436,0.01523184,0.01879056,0.01935258,0.007399536,0.01524015,-0.008404151,-0.009277195,-0.01614207,-0.01596977,2870,3,573,0,4
1,2489765,8199.995,799.9995,5630.293,0.06490912,-1.110544,-0.4227802,-0.002818942,0.07281497,22.04854,-0.02754159,0.003362915,-0.001289836,0.07556313,0.0165612,0.000754164,0.3330674,0.3239176,0.2756778,0.2774569,-0.01382141,-0.01438391,0.000456554,0.000396194,67.26027,67.23862,67.37426,67.35735,0,0,0,0,0,0,0,0,0,0,0,0,0.002746154,-0.000681201,-0.00762454,0.01487544,0.01409158,0.01440003,0.007638197,0.01488071,-0.008110799,-0.009360768,-0.01595089,-0.01570784,2870,3,573,0,4
1,2489781,8199.995,799.9995,5675.951,0.1629026,-1.201295,-0.4751037,-0.002384901,0.03989384,22.04234,-0.03268006,0.002800197,-0.002345322,0.07561334,0.01605112,0.00072324,0.3389568,0.3276722,0.283064,0.2849914,-0.002464691,-0.002612249,0.000121798,7.98E-05,67.35599,67.34146,67.35715,67.34314,0,0,0,0,0,0,0,0,0,0,0,0,0.003125273,-0.00022831,-0.007282317,0.01384746,0.003980206,0.002622207,0.007283335,0.01384769,-0.007306233,-0.008847848,-0.01494184,-0.01467854,2870,3,573,0,4
1,2489812,8199.995,799.9995,5717.063,0.03243324,-1.16097,-0.3674976,-0.00164485,0.01232874,22.04758,-0.03900041,0.002365978,-0.003390889,0.07565515,0.01544963,0.00067461,0.3469616,0.3343644,0.2946674,0.2964893,0.02667638,0.02734016,-0.001077913,-0.001147748,67.4159,67.41824,67.37223,67.36085,0,0,0,0,0,0,0,0,0,0,0,0,0.003251404,5.89E-05,-0.006511532,0.01231103,0.0268738,0.02734022,0.006600147,0.01236442,-0.006212682,-0.007933609,-0.01335669,-0.01310779,2870,3,573,0,4
1,2489828,8199.995,799.9995,5748.796,0.1637097,-1.023798,-0.1111417,-0.000716686,-0.01060227,22.05987,-0.04482926,0.002050608,-0.004461534,0.07569047,0.01474507,0.000608311,0.3561058,0.3420791,0.3098552,0.3113466,0.0360327,0.03276399,-0.001685308,-0.001756254,67.67281,67.71902,67.40371,67.39386,0,0,0,0,0,0,0,0,0,0,0,0,0.003231133,0.000303886,-0.005407995,0.01034774,0.03617728,0.0327654,0.005664509,0.01049572,-0.004963472,-0.006879687,-0.01128185,-0.0110781,2870,3,573,0,4
1,2489843,8199.995,799.9995,5769.215,0.06879809,-0.8227232,0.2216521,0.000311494,-0.0296447,22.08486,-0.05118034,0.001791631,-0.005623114,0.07572051,0.01393609,0.000523096,0.3654868,0.3500995,0.3276616,0.3282411,0.05444814,0.04821394,-0.00107095,-0.001176018,67.91227,68.00171,67.49356,67.48627,0,0,0,0,0,0,0,0,0,0,0,0,0.003058384,0.000508853,-0.004175,0.008336702,0.05453397,0.04821663,0.004310169,0.008419242,-0.003681928,-0.005784005,-0.008849286,-0.008770123,2870,3,573,0,4
1,2489859,8199.995,799.9995,5779.736,0.09389704,-0.589171,0.6293505,0.001398087,-0.04584473,22.12212,-0.05752178,0.001589857,-0.006856336,0.07574594,0.01302082,0.000417775,0.3741989,0.3576676,0.348395,0.3474137,0.07490208,0.06304974,-0.001429187,-0.001642519,68.15847,68.31606,67.61113,67.60614,0,0,0,0,0,0,0,0,0,0,0,0,0.002822073,0.000760706,-0.002699798,0.006106275,0.07495522,0.06305433,0.003054748,0.006323327,-0.00249175,-0.004750118,-0.006016865,-0.006150916,2870,3,573,0,4
1,2489875,8199.995,799.9995,5785.221,0.1009584,-0.3427659,1.175784,0.002477646,-0.06001294,22.1696,-0.06283642,0.001307164,-0.008087297,0.07576764,0.01200699,0.000291603,0.3807575,0.362879,0.3707839,0.368504,0.08460454,0.09075495,-0.001815552,-0.001856526,68.58337,68.63906,67.76231,67.7569,0,0,0,0,0,0,0,0,0,0,0,0,0.002405037,0.000921158,-0.000806279,0.003879417,0.08463871,0.09075962,0.001986533,0.004300763,-0.001595773,-0.004038177,-0.002958283,-0.003269739,2870,3,573,0,4
